HSN,NAME,P CODE,TOTAL QUANTITY,UNTAXED TOTAL,IGST,SGST,CGST,TAXED TOTAL
27101211,PETROLEUM ETHER 60-80 L.R. 2.5 L,P10337,75,37561.76,8685.39,1694.06,1694.06,49635.27
27101211,PETROLEUM ETHER 60-80 L.R 25 L,P12133,1,3325,598.5,0,0,3923.5
27101211,PETROLEUM ETHER 60-80 A.R 500 ML,P73729,2,328.6,0,29.57,29.57,387.74
27101211,PETROLEUM ETHER 60-80 A.R. 2.5 L,P73837,4,2113.28,380.39,0,0,2493.67
27101213,PETROLEUM ETHER 40-60 LR 500 ML,P10229,42,7947.06,899.48,678.96,678.96,10204.46
27101213,PETROLEUM ETHER 40-60 LR 2.5 L,P10237,64,52859.63,6925.33,5568.65,5568.65,70922.26
27101213,PETROLEUM ETHER 40-60 A.R 2.5 L,P73737,11,9950.38,0,895.54,895.54,11741.46
27109900,PARAFFIN LIQUID (LIGHT) L.R. 500 ML,P10439,149,26846.46,12386.57,1339.73,1339.73,41912.49
27109900,PARAFFIN LIQUID HEAVY 500 ML,P63978,58,12830.48,867.24,1132.39,1132.39,15962.5
27109900,PARAFFIN LIQUID LIGHT I.P 5 L,P84651,8,4400,0,396,396,5192
27121090,PETROLEUM JELLY WHITE 500.00 GM,P11429,27,5043.36,872.54,70.52,70.52,6056.94
27129090,PARAFFIN WAX WITH CERESIN (BF) 500.00 GM,P10025,281,74574,6581.7,7368.3,7368.3,95892.3
27129090,PARAFFIN WAX WITH CERESIN 500.00 GM,P10029,312,75280.2,21800.02,887.22,887.22,98854.66
27129090,PARAFFIN WAX 58-60 DEGREE 500.00 GM,P10129,575,124342.72,14552.12,10685.8,10685.8,160266.44
27129090,PARAFFIN WAX PELLETS 58-60 500.00 GM,P10159,20,3889.6,700.13,0,0,4589.73
27129090,PARAFFIN WAX PELLETS 58-60 1 KG,P10169,10,4000,0,360,360,4720
27129090,PARAFFIN WAX 58-60 25.00 KG,P10188,6,23250,0,2092.5,2092.5,27435
27129090,PARAFFIN WAX PELLETS 60-62 500.00 GM,P10528,20,4341.24,0,390.71,390.71,5122.66
27129090,PARAFFIN WAX 60-62 DEGREE 500.00 GM,P10529,60,12512,2252.16,0,0,14764.16
28011000,CHLORINE TABLETS 100.00 GM,C51017,31,4875.72,2302.56,150.99,150.99,7480.26
28011000,CHLORINE TABLETS (Cl- 58-62%) 500.00 GM,C51029,27,18658.13,0,1679.23,1679.23,22016.59
28012000,IODINE RESUBLIMED L.R. 100.00 GM,I10917,140,98819.16,17667.33,2713.75,2713.75,121913.99
28012000,IODINE RESUBLIMED A.R.-99.8% 100.00 GM,I75909,5,3650.5,438.06,0,0,4088.56
28012000,IODINE CRYSTALS I.P. 100.00 GM,I80917,2,2565.66,307.88,0,0,2873.54
28020010,SULPHUR POWDER 500.00 GM,S14529,6445,423509.3,81963.14,2020.24,2020.24,509512.92
28020010,SULPHUR POWDER 1.00 KG,S14533,320,33600,6048,0,0,39648
28047020,PHOSPHOROUS RED 250.00 GM,P11725,1,326.3,58.73,0,0,385.03
28051100,SODIUM METAL 100.00 GM,S13317,515,53993.68,20008.31,766.16,766.16,75534.31
28051100,SODIUM METAL L.R. 250.00 GM,S13325,76,16582.64,9353.03,354.9,354.9,26645.47
28054000,MERCURY L.R. 100.00 GM,M11117,47,29149.47,7292.36,1242.13,1242.13,38926.09
28054000,MERCURY.L.R. 500.00 GM,M11529,12,34110.5,5085.07,2109.64,2109.64,43414.85
28061000,HYDROCHLORIC ACID 25 L,H10223,28,25120,0,2260.8,2260.8,29641.6
28061000,HYDROCHLORIC ACID L.R. 500 ML,H10229,1578,108932.4,45513.42,5422.5,5422.5,165290.82
28061000,HYDROCHLORIC ACID L.R. 2.5 L,H10237,308,81258.95,14801.95,4540.4,4540.4,105141.7
28061000,HYDROCHLORIC ACID.L.R. (BPb) 500 ML,H10239,20,1221,219.78,0,0,1440.78
28061000,HYDROCHLORIC ACID 5 L,H10251,438,142921.48,89187.76,8076,8076,248261.24
28061000,HYDROCHLORIC ACID L.R.T.C 500 ML,H11229,833,78768,17445.02,466.51,466.51,97146.04
28061000,HYDROCHLORIC ACID.L.R. TC PACK 2.5 L,H12037,37,10195.13,1835.12,0,0,12030.25
28061000,HYDROCHLORIC ACID C.P. 500 ML,H12829,300,8700,0,783,783,10266
28061000,HYDROCHLORIC ACID C.P. 1 L,H12838,200,8800,0,792,792,10384
28061000,HYDROCHLORIC ACID N/1 500 ML,H50379,981,57249.3,12205.35,2117.6,2117.6,73689.85
28061000,HYDROCHLORIC ACID N/10 500 ML,H50399,4073,221162.17,57902.15,2407.58,2407.58,283879.48
28061000,HYDROCHLORIC ACID A.R 500 ML,H70829,27,2535.5,0,228.18,228.18,2991.86
28061000,HYDROCHLORIC ACID A.R 2.5 L,H70837,77,21388.58,2466.37,1210.25,1210.25,26275.45
28061000,HYDROCHLORIC ACID.A.R. TC PACK 500 ML,H70930,26,3118.56,561.34,0,0,3679.9
28061000,HYDROCHLORIC ACID A.R T.C PACK 2.5 L,H71837,7,2549.32,458.88,0,0,3008.2
28070010,SULPHURIC ACID L.R. T.C PACK 2.5 L,S11037,128,50101.44,9018.26,0,0,59119.7
28070010,SULPHURIC ACID L.R. 500 ML,S15029,1558,171187.01,77894.44,10373.49,10373.49,269828.43
28070010,SULPHURIC ACID L.R. 25 L,S15033,4,7500,0,675,675,8850
28070010,SULPHURIC ACID L.R. 2.5 L,S15037,103,45710.1,10790.52,3781.33,3781.33,64063.28
28070010,SULPHURIC ACID.L.R. (BPb) 500 ML,S15039,41,4071.6,1069.2,10.04,10.04,5160.88
28070010,SULPHURIC ACID 5 L,S15051,429,183183.72,30974.4,14197.28,14197.28,242552.68
28070010,SULPHURIC ACID L.R. TC PACK 500 ML,S15130,1127,135656.72,24418.19,0,0,160074.91
28070010,SULPHURIC ACID 20% 500 ML,S25279,753,37484.79,8884.28,215.51,215.51,46800.09
28070010,SULPHURIC ACID 25% 500 ML,S25289,26,1627.5,0,146.46,146.46,1920.42
28070010,SULPHURIC ACID N/50 500 ML,S25290,95,5084.2,903.1,66.96,66.96,6121.22
28070010,SULPHURIC ACID 2/3N 500 ML,S55879,3,173.04,31.15,0,0,204.19
28070010,SULPHURIC ACID N/1 500 ML,S55979,80,4280,770.4,0,0,5050.4
28070010,SULPHURIC ACID N/10 500 ML,S56079,676,37520,9267.84,580.32,580.32,47948.48
28070010,SULPHURIC ACID A.R. T.C PACK 2.5 L,S71837,12,5385.12,969.32,0,0,6354.44
28070010,SULPHURIC ACID A.R. 500 ML,S75829,40,5545.42,0,499.09,499.09,6543.6
28070010,SULPHURIC ACID A.R. TC PACK 500 ML,S75830,16,2121.6,381.89,0,0,2503.49
28070010,SULPHURIC ACID A.R. 2.5 L,S75837,87,42881.76,7626.52,1991.83,1991.83,54491.94
28080010,NITRIC ACID L.R. 500 ML,N10729,937,87107.62,24804.89,3599.8,3599.8,119112.11
28080010,NITRIC ACID L.R. TC PACK 500 ML,N10730,600,63861,11494.99,0,0,75355.99
28080010,NITRIC ACID L.R 25 L,N10733,81,157625,0,14186.25,14186.25,185997.5
28080010,NITRIC ACID L.R. 2.5 L,N10737,834,212779.08,68728.98,4208.82,4208.82,289925.7
28080010,NITRIC ACID.L.R. (BPb) 500 ML,N10739,20,1639,295.02,0,0,1934.02
28080010,NITRIC ACID (1:2) (Sp.gra.1.2) 5 L,N10754,2,928.76,0,83.59,83.59,1095.94
28080010,NITRIC ACID (1:2) (Sp.gra.1.2) 25 L,N10788,12,18000,0,1620,1620,21240
28080010,NITRIC ACID (1:3) (SP.GR.1.3) 25 L,N10789,12,24000,0,2160,2160,28320
28080010,NITRIC ACID L.R T.C PACK 2.5 L,N11737,52,16615.2,2990.74,0,0,19605.94
28080010,NITRIC ACID A.R. 500 ML,N70829,65,7487.3,0,673.86,673.86,8835.02
28080010,NITRIC ACID.A.R. TC PACK 500 ML,N70830,8,948.48,170.73,0,0,1119.21
28080010,NITRIC ACID A.R. 2.5 L,N70837,2,675,0,60.75,60.75,796.5
28080010,NITRIC ACID A.R. T.C PACK 2.5 L,N71837,16,7063.68,1271.46,0,0,8335.14
28091000,PHOSPHOROUS PENTOXIDE 98% 250.00 GM,P21725,14,4132.5,743.85,0,0,4876.35
28092010,ORTHO PHOSPHORIC ACID L.R. 500 ML,O10129,122,35323.14,9824.57,2098.02,2098.02,49343.75
28092010,ORTHO PHOSPHORIC ACID 25 L,O10189,1,7250,0,652.5,652.5,8555
28092010,ORTHO PHOSPHORIC ACID A.R 500 ML,O11329,17,5620.99,2673.09,60.38,60.38,8414.84
28092010,ORTHO PHOSPHORIC ACID 2.5 L,O11737,4,4715.36,848.76,0,0,5564.12
28100020,BORIC ACID L.R 500.00 GM,B11729,433,55688.19,16875.18,1281.18,1281.18,75125.73
28100020,BORIC ACID L.R 5.00 KG,B11737,10,6850,112.5,742.5,742.5,8447.5
28100020,BORIC ACID A.R. 500.00 GM,B73429,66,22131.06,2112.24,1604.58,1604.58,27452.46
28111100,HYDROFLUORIC ACID L.R. 500 ML,H10529,103,18836.16,7112.44,881.21,881.21,27711.02
28111100,HYDROFLUORIC ACID 48% 500 ML,H50499,6,1915.8,0,172.42,172.42,2260.64
28111990,PERCHLORIC ACID A.R. 70% 500 ML,P10639,33,19535,1111.32,1261.08,1261.08,23168.48
28111990,PERCHLORIC ACID A.R. 60% 500 ML,P10739,5,3019.4,0,271.75,271.75,3562.9
28111990,PHOSPHO TUNGSTIC ACID 25.00 GM,P11709,33,9071.2,1145.94,975.39,975.39,12167.92
28111990,PERIODIC ACID L.R. 25.00 GM,P34109,16,5854.32,1281.72,38.61,38.61,7213.26
28111990,PHOSPHOMOLYBDIC ACID.A.R. 25.00 GM,P71109,18,7199.48,1766.9,245.32,245.32,9457.02
28111990,SULPHAMIC ACID 500.00 GM,S16429,20,2776.8,499.82,0,0,3276.62
28111990,SULPHAMIC ACID 5.00 KG,S16439,6,3750,468,207,207,4632
28112920,ARSENIC TRIOXIDE L.R. 500.00 GM,A13629,41,4501.24,1152.32,203.95,203.95,6061.46
28112990,SELENIUM DIOXIDE (SUBLIMED) 50.00 GM,S14704,11,9708.3,2174.64,601.92,601.92,13086.78
28131000,CARBON DISULPHIDE L.R. 500 ML,C11329,307,67735.27,15610.37,261.45,261.45,83868.54
28142000,AMMONIA SOLUTION 0.91 5 L,A11651,427,80859.54,14113.52,3757.43,3757.43,102487.92
28142000,AMMONIA SOLUTION.C.P. 5 L,A11661,40,5000,0,450,450,5900
28142000,AMMONIA SOLUTION.C.P. 30 L,A11670,56,40200,0,3618,3618,47436
28142000,AMMONIA SOLUTION SP.GR.0.91 500 ML,A11679,1671,113944.11,60789.74,3594.53,3594.53,181922.91
28142000,AMMONIA SOLUTION 0.91 30 L,A11680,40,22800,0,2052,2052,26904
28142000,AMMONIA SOLUTION SP.GR.0.91 2.5 L,A11687,206,50361.26,19156.92,2629.88,2629.88,74777.94
28142000,AMMONIA SOLUTION 10% 25 L,A11699,358,196900,0,17721,17721,232342
28142000,AMMONIA SOLUTION SP.GR.0.89 500 ML,A11779,59,4576.64,1302.92,139.98,139.98,6159.52
28142000,AMMONIA SOLN. A.R. SP.GR.0.91 500 ML,A75579,18,1235.52,222.39,0,0,1457.91
28142000,AMMONIA SOLN. A.R.SP GR.0.91 2.5 L,A75587,36,9599.68,1727.95,0,0,11327.63
28142000,AMMONIA SOLUTION SP.GR.0.91 25 L,A75588,80,44000,7920,0,0,51920
28151110,SODIUM HYDROXIDE FLAKES.C.P. 500.00 GM,S12827,100,3120,0,280.8,280.8,3681.6
28151110,SODIUM HYDROXIDE FLAKES L.R. 500.00 GM,S12829,1359,88661.25,20896.33,406.8,406.8,110371.18
28151110,SODIUM HYDROXIDE FLAKES L.R. 1.00 KG,S12833,25,2911.8,524.13,0,0,3435.93
28151110,SODIUM HYDROXIDE FLAKES.C.P. 1.00 KG,S12834,160,7240,0,651.6,651.6,8543.2
28151110,SODIUM HYDROXIDE FLAKES 5.00 KG,S12837,25,11052,2016.94,297,297,13662.94
28151110,SODIUM HYDROXIDE FLAKES.C.P. 5.00 KG,S12838,15,5250,0,472.5,472.5,6195
28151110,SODIUM HYDROXIDE FLAKES 10.00 KG,S12887,1000,450000,0,40500,40500,531000
28151110,SODIUM HYDROXIDE FLAKES L.R 25.00 KG,S12888,25,48125,8347.5,630,630,57732.5
28151190,SODIUM HYDROXIDE PELLETS L.R. 500.00 GM,S12929,1506,151682,80533.69,6050.59,6050.59,244316.87
28151190,SODIUM HYDROXIDE PELLETS L.R. 25.00 KG,S12988,80,217450,34605,7722,7722,267499
28151190,SODIUM HYDROXIDE PELLETS L.R. 5.00 KG,S13539,48,35740.66,4002.22,4393.53,4393.53,48529.94
28151190,SODIUM HYDROXIDE PELLETS A.R. 500.00 GM,S75629,32,4454.9,675.68,362.13,362.13,5854.84
28152000,POTASSIUM HYDROXIDE PELLETS 5.00 KG,P11039,1,775,0,69.75,69.75,914.5
28152000,POTASSIUM HYDROXIDE FLAKES L.R 500.00 GM,P12429,259,32560.03,8261.64,441.09,441.09,41703.85
28152000,POTASSIUM HYDROXIDE PELLETS 250.00 GM,P12525,10,840,151.2,0,0,991.2
28152000,POTASSIUM HYDROXIDE PELLETS 500.00 GM,P12529,390,61047.25,19680.68,595.84,595.84,81919.61
28152000,POTASSIUM HYDR. PELLETS A.R 500.00 GM,P74529,10,2255.5,405.99,0,0,2661.49
28161010,MAGNESIUM HYDROXIDE 98% 250.00 GM,M11725,5,523.8,145.26,10.83,10.83,690.72
28164000,BARIUM HYDROXIDE L.R. 500.00 GM,B10629,132,12726.48,3024.44,49.56,49.56,15850.04
28170010,CALAMINE 500.00 GM,C30329,7,1757.98,342.94,72.48,72.48,2245.88
28170010,ZINC OXIDE L.R. 500.00 GM,Z10629,80,17796.8,3203.42,0,0,21000.22
28170010,ZINC OXIDE L.R 5.00 KG,Z10639,2,3240.64,583.32,0,0,3823.96
28170010,ZINC OXIDE A.R. 500.00 GM,Z70629,1,369.2,66.46,0,0,435.66
28182010,ALUMINIUM OXIDE 500.00 GM,A15129,22,1854.72,592.7,18.75,18.75,2484.92
28183000,ALUMINIUM HYDROXIDE POWDER 250.00 GM,A11625,16,2020,314.64,89.28,89.28,2513.2
28191000,CHROMIC ACID L.R. 500.00 GM,C12229,33,12087.9,3084.04,33.76,33.76,15239.46
28201000,MANGANESE DIOXIDE 500.00 GM,M10429,75,6260.1,1151.18,92.07,92.07,7595.42
28211010,FERRIC OXIDE RED - 98% 500.00 GM,F11729,2,287.14,51.69,0,0,338.83
28211020,FERRIC HYDROXIDE 62% 500.00 GM,F10529,4,704,126.72,0,0,830.72
28220010,COBALT OXIDE (Co Content-70%) 50.00 GM,C12304,6,1859.4,174.38,123.75,123.75,2281.28
28230010,TITANIUM DIOXIDE L.R. 500.00 GM,T10829,21,4053.38,1372.4,21.71,21.71,5469.2
28241010,LEAD MONOXIDE 500.00 GM,L10629,20,4900.48,0,441.05,441.05,5782.58
28249000,LEAD PEROXIDE (DIOXIDE) 500.00 GM,L11529,44,23593.98,5977.86,1337.66,1337.66,32247.16
28249000,LEAD OXIDE RED 500.00 GM,L20329,10,2868.4,516.31,0,0,3384.71
28251020,HYDRAZINE HYDRATE 80% 500 ML,H13829,29,12577.5,3047.04,117.06,117.06,15858.66
28251020,HYDRAZINE HYDRATE 80% 2.5 L,H13837,16,29111.04,5239.99,0,0,34351.03
28251030,HYDRAZINE SULPHATE.L.R. 100.00 GM,H11517,44,5573.48,836.85,248.43,248.43,6907.19
28251090,HYDROXYL AMINE HYDROCHLORIDE 100.00 GM,H16017,67,13013.41,3244.76,491.36,491.36,17240.89
28253010,VANADIUM PENTOXIDE - 99% 50.00 GM,V13009,2,872.96,0,78.56,78.56,1030.08
28254000,NICKEL OXIDE (Ni-78-79%) 100.00 GM,N11017,2,1797.6,323.57,0,0,2121.17
28255000,CUPRIC OXIDE L.R. 250.00 GM,C14017,60,18844.6,3392.03,0,0,22236.63
28255000,CUPROUS OXIDE RED - 96% 250.00 GM,C14329,2,829.92,149.39,0,0,979.31
28256020,ZIRCONIUM (IV) OXIDE 100.00 GM,Z10519,2,213.28,0,19.2,19.2,251.68
28257020,MOLYBDIC ACID L.R. 100.00 GM,M12517,16,9921.72,688.22,1191.88,1191.88,12993.7
28259040,CALCIUM HYDROXIDE.L.R. 500.00 GM,C11529,280,24352.8,6606.16,602.62,602.62,32164.2
28259090,BISMUTH OXIDE 99% 100.00 GM,B11317,1,454.16,81.75,0,0,535.91
28259090,CALCIUM OXIDE POWDER L.R. 500.00 GM,C11029,145,15507.68,5164.06,500,500,21671.74
28259090,MERCURIC OXIDE RED L.R 100.00 GM,M40917,34,33699.46,6201.31,99.94,99.94,40100.65
28261910,MAGNESIUM FLUORIDE 250.00 GM,M10325,1,215.14,0,19.36,19.36,253.86
28261990,AMMONIUM BIFLUORIDE 5.00 KG,A12539,7,10500,0,945,945,12390
28261990,AMMONIUM BIFLUORIDE L.R. 250.00 GM,A12625,105,11245.54,2488.37,420.81,420.81,14575.53
28261990,AMMONIUM BIFLUORIDE 500.00 GM,A12627,1,241.8,0,21.76,21.76,285.32
28261990,AMMONIUM FLUORIDE L.R 250.00 GM,A13625,37,6868.72,1021.15,673.57,673.57,9237.01
28261990,BARIUM FLUORIDE-97% 250.00 GM,B11325,8,3282.32,704.88,119.19,119.19,4225.58
28261990,CALCIUM FLUORIDE 500.00 GM,C15229,39,11354.78,4312.94,675.31,675.31,17018.34
28261990,LEAD FLUORIDE - 97% 500.00 GM,L13229,5,2494.8,449.06,0,0,2943.86
28261990,SODIUM FLUORIDE 500.00 GM,S13229,43,11007.04,2938.32,780.76,780.76,15506.88
28271000,AMMONIUM CHLORIDE L.R. 500.00 GM,A11929,1333,121346.51,61115.61,3877.37,3877.37,190216.86
28271000,AMMONIUM CHLORIDE L.R. 5.00 KG,A11939,21,13543.72,1732.9,1220.91,1220.91,17718.44
28271000,AMMONIUM CHLORIDE A.R. 250.00 GM,A74429,46,4139.55,1067.99,251.02,251.02,5709.58
28272000,CALCIUM CHLORIDE DIHYDRATE.LR. 500.00 GM,C10529,79,9555.48,4448.72,259.78,259.78,14523.76
28272000,CALCIUM CHLORIDE FUSED L.R. 500.00 GM,C10729,713,54306.13,30093.41,1370.64,1370.64,87140.82
28272000,CALCIUM CHLORIDE DIHYDRATE A.R 250.00 GM,C42017,12,2693.76,484.88,0,0,3178.64
28272000,CALCIUM CHLORIDE DIHYDRATE A.R,C70529,6,2452.2,441.4,0,0,2893.6
28272000,CALCIUM CHLORIDE DIHYDRATE I.P 500.00 GM,C84229,28,4970.32,0,447.33,447.33,5864.98
28273100,MAGNESIUM CHLORIDE L.R. 500.00 GM,M10129,327,30223.2,10251.07,888.35,888.35,42250.97
28273100,MAGNESIUM CHLORIDE.A.R. 500.00 GM,M71529,2,272.8,0,24.55,24.55,321.9
28273200,ALUMINIUM CHLORIDE ANHYDROUS 250.00 GM,A15025,59,5692.27,1679.66,133.17,133.17,7638.27
28273500,NICKEL CHLORIDE.L.R. 250.00 GM,N11525,99,23030.85,3440.96,1309.06,1309.06,29089.93
28273500,NICKEL CHLORIDE 5.00 KG,N11539,13,40300,0,3627,3627,47554
28273920,MERCUROUS CHLORIDE (CALOMEL) 100.00 GM,M12017,5,9858,0,887.22,887.22,11632.44
28273930,STRONTIUM CHLORIDE L.R. 500.00 GM,S14325,145,22569.7,6492.78,1248.63,1248.63,31559.74
28273940,CUPROUS CHLORIDE L.R. 500.00 GM,C14129,1,502.82,0,45.25,45.25,593.32
28273990,ANTIMONY TRICHLORIDE.L.R. 100.00 GM,A17017,5,1141.7,205.51,0,0,1347.21
28273990,BARIUM CHLORIDE L.R. 500.00 GM,B10329,866,95223.3,53082.92,3571.82,3571.82,155449.86
28273990,BARIUM CHLORIDE A.R. 500.00 GM,B73129,4,727.35,0,65.46,65.46,858.27
28273990,CHROMIC CHLORIDE.L.R. 500.00 GM,C11929,54,16230.1,4718.61,121.64,121.64,21191.99
28273990,COBALT CHLORIDE L.R. 100.00 GM,C12517,108,34326.74,8813.47,630.82,630.82,44401.85
28273990,COBALT CHLORIDE L.R. 500.00 GM,C12529,2,3024,544.32,0,0,3568.32
28273990,CUPRIC CHLORIDE L.R. 500.00 GM,C14029,64,30156.05,8304.78,303.8,303.8,39068.43
28273990,CADMIUM CHLORIDE L.R. 100.00 GM,C14517,23,7128.1,1578.65,99.6,99.6,8905.95
28273990,FERRIC CHLORIDE ANHYDROUS 500.00 GM,F10329,520,47241.96,17054.48,1764.56,1764.56,67825.56
28273990,FERRIC CHLORIDE HEXAHYDRATE 500.00 GM,F10429,1,118.98,0,10.71,10.71,140.4
28273990,FERRIC CHLORIDE C.P 5.00 KG,F10637,5,7250,0,652.5,652.5,8555
28273990,FERRIC CHLORIDE C.P 500.00 GM,F16329,50,1900,0,171,171,2242
28273990,LITHIUM CHLORIDE ANHYDROUS 250.00 GM,L10525,4,1401.17,0,126.1,126.1,1653.37
28273990,LEAD CHLORIDE L.R. 500.00 GM,L10729,22,6969.93,1022.39,496.02,496.02,8984.36
28273990,MANGANOUS CHLORIDE L.R. 500.00 GM,M10529,73,16839.63,4835.16,861.87,861.87,23398.53
28273990,MERCURIC CHLORIDE L.R. 100.00 GM,M10717,27,36633.73,3946.49,3258.21,3258.21,47096.64
28273990,STANNOUS CHLORIDE L.R. 100.00 GM,S14817,79,22516.42,8496.38,1011.29,1011.29,33035.38
28273990,STANNOUS CHLORIDE - 95% 250.00 GM,S14825,24,16544.09,3577.69,1045.52,1045.52,22212.82
28273990,ZINC CHLORIDE ANHYDROUS L.R. 500.00 GM,Z10329,81,15968.62,6712.48,766.96,766.96,24215.02
28274900,ZIRCONIUM OXY CHLORIDE 100.00 GM,Z10517,15,3426.3,962.28,113,113,4614.58
28275110,SODIUM BROMIDE 500.00 GM,S11709,100,27105,2439.45,2439.44,2439.44,34423.33
28275120,POTASSIUM BROMIDE L.R. 500.00 GM,P14129,85,32764.16,9605.37,589.25,589.25,43548.03
28275120,POTASSIUM BROMIDE A.R 250.00 GM,P71217,2,404.8,72.86,0,0,477.66
28275910,MAGNESIUM BROMIDE - 97% 250.00 GM,M10925,2,505.12,90.92,0,0,596.04
28275990,AMMONIUM BROMIDE L.R 500.00 GM,A15229,101,40076.55,14673.59,1292.15,1292.15,57334.44
28275990,BARIUM BROMIDE L.R 500.00 GM,B10429,5,2654.6,477.83,0,0,3132.43
28275990,BARIUM BROMIDE 250.00 GM,B10625,2,652.24,0,58.7,58.7,769.64
28275990,CALCIUM BROMIDE HYDRATE-84.7% 250.00 GM,C10515,7,1444.8,209.3,57.59,57.59,1769.28
28275990,LEAD BROMIDE 250.00 GM,L30625,2,474.55,85.42,0,0,559.97
28275990,ZINC BROMIDE 250.00 GM,Z20317,1,183.92,33.11,0,0,217.03
28276010,POTASSIUM IODIDE.L.R. 100.00 GM,P14317,335,174888,75110.94,7909.65,7909.65,265818.24
