HSN,NAME,P CODE,TOTAL QUANTITY,IGST,SGST,CGST,TOTAL AMOUNT
29152100,ACETIC ACID SOLUTION 3% 500 ML,A20379,424,4082.58,252.88,252.88,25490.44
29152100,ACETIC ACID SOLUTION 5% 500 ML,A20389,10,101.97,0,0,566.5
38220019,ACETO CARMINE,A35625,0,0,0,0,0
38220019,ACETO CARMINE 100 ML,A35671,487,13688.22,953.33,953.33,129957.68
38220019,ACETO ORCEIN SOLUTION 100 ML,A35771,135,2895.26,173.91,173.91,27025.7
29141100,ACETONE 200 L,A10504,1,3060,0,0,17000
29141100,ACETONE 5 L,A10551,20,0,927,927,10300
29141100,ACETONE A.R 25 L,A74389,19,0,4747.5,4747.5,52750
29141100,ACETONE A.R. 2.5 L,A74337,10,439.92,386.83,386.83,6742.15
29141100,ACETONE A.R. 500 ML,A74329,31,444.79,232.02,232.02,5049
29141100,ACETONE COMMERCIAL,A10051,0,0,0,0,0
29141100,ACETONE COMMERCIAL 25 L,A10025,0,0,0,0,0
29141100,ACETONE COMMERCIAL 25 L,A10033,20,0,3960,3960,44000
29141100,ACETONE GC GRADE 99.9%,A10535,0,0,0,0,0
29141100,ACETONE L.R 25 L,A11033,56,553.5,10957.95,10957.95,124830
29141100,ACETONE L.R.,A10525,0,0,0,0,0
29141100,ACETONE L.R. 2.5 L,A10537,275,20921.87,4033.07,4033.07,161044.88
29141100,ACETONE L.R. 500 ML,A10529,1677,34864.32,5716.13,5716.13,257203.52
29269000,ACETONITRILE,A10737,0,0,0,0,0
29269000,ACETONITRILE 500 ML,A10729,5,216.31,0,0,1201.75
29269000,ACETONITRILE A.R,A74729,0,0,0,0,0
29269000,ACETONITRILE A.R.,A74737,0,0,0,0,0
29269000,ACETONITRILE GC GRADE 99.9%,A10735,0,0,0,0,0
29269000,ACETONITRILE HPLC 1 L,A94083,2,0,98.54,98.54,1094.92
29269000,ACETONITRILE HPLC 2.5 L,A94037,25,3204,0,0,17800
29143910,ACETOPHENONE 500 ML,A11629,54,2119.65,380.32,380.32,16001.7
29141990,ACETYL ACETONE 250 ML,A10425,5,0,280.39,280.39,3115.5
29141990,ACETYL ACETONE 500 ML,A10429,0,0,0,0,0
29159010,ACETYL CHLORIDE L.R 500 ML,A17329,14,387.37,136.15,136.15,3664.88
38220019,ACID FAST STAINING KIT,A25550,7,144.54,13.58,13.58,1430.8
32041214,ACID FUCHSIN (M.S) A.R.,A72705,0,0,0,0,0
32041214,ACID FUCHSIN (M.S) A.R.,A72709,0,0,0,0,0
32041214,ACID FUCHSIN (M.S.) 25.00 GM,A12709,14,294.51,72.32,72.32,2439.72
38220019,ACID MIXTURE,A20671,0,0,0,0,0
38220090,ACID MOLYBDATE SOLUTION,A60679,0,0,0,0,0
38220019,ACIDITY REAGENT - 1 (A-1),A43929,0,0,0,0,0
38220019,ACIDITY REAGENT -1,A20629,0,0,0,0,0
29242990,ACRYLAMIDE,A16325,0,0,0,0,0
29242990,ACRYLAMIDE 500.00 GM,A16329,2,133.46,0,0,741.44
29161100,ACRYLIC ACID-99% 500 ML,A18329,0,0,0,0,0
38220090,ADDITIVE NM-101 (ADDITIVE-5191,A51837,0,0,0,0,0
29335990,ADENINE IP/USP 98.5%-101%,A85229,0,0,0,0,0
29335990,ADENINE IP/USP 98.5%-101% 1.00 KG,A85225,12,2268,4408.02,4408.02,61578
29171200,ADIPIC ACID L.R.,A10739,0,0,0,0,0
29171200,ADIPIC ACID L.R. 250.00 GM,A10725,2,53.02,0,0,294.56
13023100,AGAR AGAR BACTERIOLOGICAL,A10929,0,0,0,0,0
13023100,AGAR AGAR BACTERIOLOGICAL,A10949,0,0,0,0,0
13023100,AGAR AGAR BACTERIOLOGICAL 2.50 KG,A10939,10,9832.5,0,0,54625
13023100,AGAR AGAR BACTERIOLOGICAL 250.00 GM,A10925,154,22050.66,3342.66,3342.66,159644.16
13023100,AGAR AGAR BACTERIOLOGICAL 5.00 KG,A10959,0,0,0,0,0
39139090,AGAROSE FOR ELECTROPHORESIS 10.00 GM,A12005,13,830.06,542.55,542.55,10639.74
70179010,Air Condenser 100mm,NG5001,0,0,0,0,0
70179010,"Air Condenser 19/26, 400mm",NG5005,0,0,0,0,0
70179010,"Air Condenser 19/26, 500mm",NG5006,0,0,0,0,0
70179010,"Air Condenser 19/26, 600mm",NG5007,0,0,0,0,0
70179010,"Air Condenser 19/26,200mm",NG5003,0,0,0,0,0
70179010,Air Condenser 200mm,NG5002,0,0,0,0,0
70179010,"Air Condenser 24/29, 400mm",NG5008,0,0,0,0,0
70179010,"Air Condenser 24/29, 600mm",NG5009,0,0,0,0,0
70179010,"Air Condenser, Air, 14/23",NG5081,0,0,0,0,0
70179010,"Air condenser, vertical, 19/26",NG5082,0,0,0,0,0
70179010,"Air condenser, vertical, 24/29",NG5083,0,0,0,0,0
70179010,AIR CONDENSOR (L-300MM),NG5004,0,0,0,0,0
38220019,ALBERT'S STAIN SOLUTION A 125 ML,A30871,18,33.38,51.74,51.74,1140.62
38220019,ALBERT'S STAIN SOLUTION B 125 ML,A30971,15,33.38,39.01,39.01,928.33
35029000,ALBUMIN BOVINE FRACTION V POW. 5.00 GM,A31501,64,1650.29,2956.21,2956.21,42014.97
70179010,ALCOHOL DISTILLATION SET,NG8021,0,0,0,0,0
38220090,ALCOHOLIC POT.HYDRO.SOLN.0.5N,A11553,0,0,0,0,0
38220090,ALCOHOLIC POT.HYDRO.SOLN.0.5N 5 L,A11551,7,0,438.13,438.13,4868.13
70179010,Alcoholometer,NG8481,0,0,0,0,0
39131010,ALGINIC ACID 250.00 GM,A11125,0,0,0,0,0
32041268,ALIZARIN RED S 10.00 GM,A43905,6,80.69,9.1,9.1,549.31
38220090,ALIZARIN RED S SOLUTION,A43959,0,0,0,0,0
38220090,ALIZARIN RED S SOLUTION,A43971,0,0,0,0,0
38220090,ALIZARIN TEST KIT,A25650,0,0,0,0,0
38220019,ALKALINE COPPER TARTRATE SOLN. 500 ML,A21079,39,357.33,11.23,11.23,3164.96
38220019,ALKALINE PYROGALLOL SOLUTION 125 ML,A11171,16,419.33,0,0,3494.4
29183090,ALPHA KETOGLUTARIC ACID 99% 25.00 GM,K12109,0,0,0,0,0
38220090,ALPHA NAPHTHOL SOLUTION 125 ML,N40871,20,115.05,15.92,15.92,1224.08
29146990,ALPHA NAPHTHOLBENZEIN,N10301,0,0,0,0,0
29146990,ALPHA NAPHTHOLBENZEIN,N10309,0,0,0,0,0
29152990,ALUMINIUM ACETATE 250.00 GM,A14017,32,626.22,237.71,237.71,6120.2
28333010,ALUMINIUM AMMONIUM SULPHATE 500.00 GM,A11129,14,88.92,95.42,95.42,1554.2
28333010,ALUMINIUM AMMONIUM SULPHATE AR,A71129,0,0,0,0,0
28402090,ALUMINIUM BORATE - 96%,A14117,0,0,0,0,0
28273200,ALUMINIUM CHLORIDE ANHYDROUS,A15029,0,0,0,0,0
28273200,ALUMINIUM CHLORIDE ANHYDROUS 250.00 GM,A15025,59,839.83,92.39,92.39,5692.27
28261200,ALUMINIUM FLUORIDE ANHYDROUS 500.00 GM,A14029,0,0,0,0,0
76071190,ALUMINIUM FOIL 100.00 GM,A31217,35,932.57,0,0,3330.6
28183000,ALUMINIUM HYDROXIDE POWDER 250.00 GM,A11625,14,274.32,22.32,22.32,1772
28342990,ALUMINIUM NITRATE L.R. 500.00 GM,A11229,220,1526.05,1649.84,1649.84,26809.74
28342990,ALUMINIUM NITRATE.A.R. 98.5%,A71225,0,0,0,0,0
28182010,ALUMINIUM OXIDE 500.00 GM,A15129,2,0,18.75,18.75,208.32
28182010,ALUMINIUM OXIDE A.R.,A75129,0,0,0,0,0
28182010,ALUMINIUM OXIDE ACTIVE (BASIC),A17029,0,0,0,0,0
28182010,ALUMINIUM OXIDE ACTIVE-ACIDIC,A10029,0,0,0,0,0
28182010,ALUMINIUM OXIDE ACTIVE-BASIC,A17088,0,0,0,0,0
28182010,ALUMINIUM OXIDE ACTIVE-NEUTRAL,A18029,0,0,0,0,0
28182010,ALUMINIUM OXIDE L.R.  25.00 KG,A15188,0,0,0,0,0
28352990,ALUMINIUM PHOSPHATE 500.00 GM,A24129,9,311.62,21.09,21.09,1965.6
28333030,ALUMINIUM POT.SULPHATE,A11339,0,0,0,0,0
28333030,ALUMINIUM POT.SULPHATE 25.00 KG,A11389,1,315,0,0,1750
28333030,ALUMINIUM POT.SULPHATE L.R 500.00 GM,A11329,62,852.07,0,0,4733.71
28333030,ALUMINIUM POT.SULPHATE.A.R,A74020,0,0,0,0,0
76032000,ALUMINIUM POWDER,A11088,0,0,0,0,0
76032000,ALUMINIUM POWDER 250.00 GM,A11025,127,560.38,1094.07,1094.07,15269.64
28332210,ALUMINIUM SULPHATE,A11425,0,0,0,0,0
28332210,ALUMINIUM SULPHATE 25.00 KG,A11488,4,0,720,720,8000
28332210,ALUMINIUM SULPHATE A.R,A73529,0,0,0,0,0
28332210,ALUMINIUM SULPHATE L.R 5.00 KG,A11439,3,0,81,81,900
28332210,ALUMINIUM SULPHATE L.R. 500.00 GM,A11429,588,8402.24,1000.4,1000.4,57794.56
29189900,ALUMINON POWDER 25.00 GM,A11009,11,0,551.8,551.8,6131.18
38220090,ALUMINON REAGENT 125 ML,A21271,256,2285.11,0,0,12694.53
38220090,ALUMINON REAGENT 500 ML,A21229,0,0,0,0,0
32041984,AMARANTH (R.I),A32309,0,0,0,0,0
38220090,AMINO RICH,A90117,0,0,0,0,0
38220090,AMINO RICH,A90118,0,0,0,0,0
38220090,AMINO RICH,A90125,0,0,0,0,0
38220090,AMINO RICH,A90139,0,0,0,0,0
38220090,AMINO RICH,A90183,0,0,0,0,0
38220090,AMINO RICH,A90188,0,0,0,0,0
38220090,AMINO RICH,A91051,0,0,0,0,0
38220090,AMMONIA BUFFER SOLUTION 5 L,A61551,5,144,0,0,1200
38220090,AMMONIA BUFFER SOLUTION 500 ML,A61579,444,4808.81,688.22,688.22,42044.22
28142000,AMMONIA SOLN. A.R. SP.GR.0.91 500 ML,A75579,18,222.39,0,0,1235.52
28142000,AMMONIA SOLN. A.R.SP GR.0.91 2.5 L,A75587,36,1727.95,0,0,9599.68
28142000,AMMONIA SOLUTION 0.91 30 L,A11680,40,0,2052,2052,22800
28142000,AMMONIA SOLUTION 0.91 5 L,A11651,415,9169.5,2552.2,2552.2,79299.54
28142000,AMMONIA SOLUTION 10%,A11689,0,0,0,0,0
28142000,AMMONIA SOLUTION 10%,A11697,0,0,0,0,0
28142000,AMMONIA SOLUTION 10% 25 L,A11699,293,0,14503.5,14503.5,161150
28142000,AMMONIA SOLUTION 15%,A11690,0,0,0,0,0
28142000,AMMONIA SOLUTION A.R.,A71751,0,0,0,0,0
28142000,AMMONIA SOLUTION N/1,A11799,0,0,0,0,0
28142000,AMMONIA SOLUTION SP.GR.0.89 500 ML,A11779,52,651.46,32.36,32.36,3978.8
28142000,AMMONIA SOLUTION SP.GR.0.89 AR,A71779,0,0,0,0,0
28142000,AMMONIA SOLUTION SP.GR.0.91 2.5 L,A11687,158,3859.99,1657.23,1657.23,39858.48
28142000,AMMONIA SOLUTION SP.GR.0.91 25 L,A75588,80,7920,0,0,44000
28142000,AMMONIA SOLUTION SP.GR.0.91 500 ML,A11679,1384,12290.68,2514.79,2514.79,96223.36
28142000,AMMONIA SOLUTION.C.P. 30 L,A11670,56,0,3618,3618,40200
28142000,AMMONIA SOLUTION.C.P. 5 L,A11661,40,0,450,450,5000
29181390,AMMONIUM (+) TARTRATE - 99%,A15729,0,0,0,0,0
29152990,AMMONIUM ACETATE A.R,A75425,0,0,0,0,0
29152990,AMMONIUM ACETATE A.R 500.00 GM,A75429,21,768.08,0,0,4267.08
29152990,AMMONIUM ACETATE L.R. 500.00 GM,A11829,142,512.11,1757.69,1757.69,22375
29152990,AMMONIUM ACETATE.L.R.,A11388,0,0,0,0,0
28369990,AMMONIUM BICARBONATE L.R 500.00 GM,A15529,33,625.91,0,0,3477.28
28261990,AMMONIUM BIFLUORIDE,A12788,0,0,0,0,0
28261990,AMMONIUM BIFLUORIDE 5.00 KG,A12539,0,0,0,0,0
28261990,AMMONIUM BIFLUORIDE 500.00 GM,A12627,1,0,21.76,21.76,241.8
28261990,AMMONIUM BIFLUORIDE L.R. 250.00 GM,A12625,105,1626.03,199.08,199.08,11245.54
28402090,AMMONIUM BORATE L.R. 250.00 GM,A15525,18,136.62,154,154,2470.2
28275990,AMMONIUM BROMIDE,A15225,0,0,0,0,0
28275990,AMMONIUM BROMIDE L.R 500.00 GM,A15229,101,5046.27,1083.74,1083.74,40076.55
28362090,AMMONIUM CARBONATE,A14139,0,0,0,0,0
28362090,AMMONIUM CARBONATE A.R,A75229,0,0,0,0,0
28362090,AMMONIUM CARBONATE L.R. 500.00 GM,A14129,451,6452.27,1702.86,1702.86,54766.87
28461090,AMMONIUM CERIC NITRATE A.R.99%,A75604,0,0,0,0,0
28461090,AMMONIUM CERIC NITRATE L.R 100.00 GM,A15617,44,3955.31,531.67,531.67,27881.31
28461090,AMMONIUM CERIC SULPHATE AR.99%,A75504,0,0,0,0,0
28461090,AMMONIUM CERIC SULPHATE AR.99%,A75519,0,0,0,0,0
28461090,AMMONIUM CERIC SULPHATE L.R 100.00 GM,A15517,17,996.14,1029.35,1029.35,16971.24
28271000,AMMONIUM CHLORIDE A.R,A74529,0,0,0,0,0
28271000,AMMONIUM CHLORIDE A.R. 250.00 GM,A74429,36,457.71,52.75,52.75,3128.95
28271000,AMMONIUM CHLORIDE I.P 500.00 GM,A83229,0,0,0,0,0
28271000,AMMONIUM CHLORIDE L.R. 5.00 KG,A11939,17,850.7,549.41,549.41,10830.6
28271000,AMMONIUM CHLORIDE L.R. 500.00 GM,A11929,1308,16193.91,2594.4,2594.4,118790.56
31054000,AMMONIUM DI HY.O.PHOSPHATE A.R,A72129,0,0,0,0,0
28415090,AMMONIUM DICHROMATE,A12025,0,0,0,0,0
28415090,AMMONIUM DICHROMATE A.R.,A75029,0,0,0,0,0
28415090,AMMONIUM DICHROMATE L.R. 500.00 GM,A12029,48,1398.51,1152.57,1152.57,20575.91
28352990,AMMONIUM DIHYD.ORTHO PHOSPHATE 25.00 KG,A12188,1,810,0,0,4500
28352990,AMMONIUM DIHYD.ORTHOPHOSPHATE 500.00 GM,A12129,17,0,368.41,368.41,4093.49
29181550,AMMONIUM FERRIC CITRATE,A14337,0,0,0,0,0
29181550,AMMONIUM FERRIC CITRATE L.R,A14388,0,0,0,0,0
29181550,AMMONIUM FERRIC CITRATE L.R. 500.00 GM,A14329,21,0,459.34,459.34,5103.84
28333020,AMMONIUM FERRIC SULPHATE A.R 500.00 GM,A75379,10,63.27,150.88,150.88,2028
28333020,AMMONIUM FERRIC SULPHATE L.R. 500.00 GM,A12329,99,2114.25,297.92,297.92,15055.98
28332990,AMMONIUM FERROUS SULPHATE,A12433,0,0,0,0,0
28332990,AMMONIUM FERROUS SULPHATE A.R. 500.00 GM,A72529,34,1307.58,0,0,7264.32
28332990,AMMONIUM FERROUS SULPHATE L.R. 500.00 GM,A12429,900,12687.37,1678.53,1678.53,89135.66
28261990,AMMONIUM FLUORIDE L.R 250.00 GM,A13625,29,204.23,384.61,384.61,5408
29151290,AMMONIUM FORMATE - 98%,A14225,0,0,0,0,0
28276090,AMMONIUM IODIDE L.R 25.00 KG ,A13688,0,0,0,0,0
28276090,AMMONIUM IODIDE L.R 50.00 GM,A13604,26,2616.77,190.33,190.33,16652.5
28419000,AMMONIUM META VANADATE 100.00 GM,A12217,13,762.35,288.2,288.2,7437.6
28417090,AMMONIUM MOLYBDATE,A12631,0,0,0,0,0
28417090,AMMONIUM MOLYBDATE,A12704,0,0,0,0,0
28417090,AMMONIUM MOLYBDATE A.R 500.00 GM,A72029,0,0,0,0,0
28417090,AMMONIUM MOLYBDATE A.R. 100.00 GM,A72817,30,3515.73,0,0,19531.84
28417090,AMMONIUM MOLYBDATE L.R 500.00 GM,A12629,4,1291.31,271.58,271.58,10191.5
28417090,AMMONIUM MOLYBDATE L.R. 100.00 GM,A12717,97,6326.09,1102.48,1102.48,47394.51
28332990,AMMONIUM NICKEL SULPHATE A.R 250.00 GM,A74217,0,0,0,0,0
28332990,AMMONIUM NICKEL SULPHATE.L.R. 250.00 GM,A12925,12,470.94,130.35,130.35,4064.64
29171190,AMMONIUM OXALATE A.R,A71329,0,0,0,0,0
29171190,AMMONIUM OXALATE L.R. 500.00 GM,A13129,95,1697.52,647.44,647.44,16624.51
28334000,AMMONIUM PERSULPHATE,A15339,0,0,0,0,0
28334000,AMMONIUM PERSULPHATE A.R,A75329,0,0,0,0,0
28334000,AMMONIUM PERSULPHATE L.R. 25.00 KG,A15388,1,0,240.75,240.75,2675
28334000,AMMONIUM PERSULPHATE L.R. 500.00 GM,A15329,12,265.81,49.05,49.05,2021.7
38220019,AMMONIUM POT.OXALATE SOLN.,A23271,0,0,0,0,0
29334900,AMMONIUM PURPURATE (MUREXIDE) 5.00 GM,A44001,26,541.21,89.38,89.38,3999.75
29334900,AMMONIUM PURPURATE A.R,A74001,0,0,0,0,0
28429090,AMMONIUM SULPHAMATE  98.5%,A12535,0,0,0,0,0
28429090,AMMONIUM SULPHAMATE  98.5%,A12538,0,0,0,0,0
28332990,AMMONIUM SULPHATE A.R. 5.00 KG,A75239,1,0,85.93,85.93,954.8
28332990,AMMONIUM SULPHATE A.R. 500.00 GM,A72629,10,192.82,0,0,1071.2
28332990,AMMONIUM SULPHATE L.R. 5.00 KG,A13337,4,0,229.88,229.88,2554.2
28332990,AMMONIUM SULPHATE L.R. 500.00 GM,A13329,668,6201.88,2307.03,2307.03,60088.81
28332990,AMMONIUM SULPHATE.L.R. 25.00 KG,A13388,1,342,0,0,1900
28372010,AMMONIUM THIOCYANATE A.R,A74625,0,0,0,0,0
28372010,AMMONIUM THIOCYANATE A.R. 500.00 GM,A74629,4,207.24,0,0,1151.36
28372010,AMMONIUM THIOCYNATE,A15425,0,0,0,0,0
28372010,AMMONIUM THIOCYNATE 250.00 GM,A15429,211,3903.58,694.67,694.67,29404.85
29153990,AMYL ACETATE Iso. 500 ML,A61659,4,49.85,76,76,1121.38
29051490,AMYL ALCOHOL (ISO),A11844,0,0,0,0,0
29051490,AMYL ALCOHOL (ISO),A11883,0,0,0,0,0
29051490,AMYL ALCOHOL (ISO),A11899,0,0,0,0,0
29051490,AMYL ALCOHOL (ISO) 500 ML,A11879,438,4543.55,4594.08,4594.08,76287.17
29051490,AMYL ALCOHOL (ISO) A.R,A74879,0,0,0,0,0
29051490,AMYL ALCOHOL ISO .A.R.,A71837,0,0,0,0,0
29051490,AMYL ALCOHOL ISO 2.5 L,A11837,80,11644.42,0,0,64691.2
70179010,"Analysis Apparatus,4test,Orsat",NG8141,0,0,0,0,0
29214110,ANILINE A.R 500 ML,A70129,0,0,0,0,0
32041264,ANILINE BLUE STAIN POWDER(WS) 25.00 GM,A32009,17,550.07,19.92,19.92,3277.26
29214120,ANILINE HYDROCHLORIDE 250.00 GM,A32029,2,59.27,0,0,329.28
29214110,ANILINE L.R. 500 ML,A10629,150,4633.34,826.96,826.96,34929.2
29214290,ANILINE SULPHATE 250.00 GM,A13225,2,0,54.46,54.46,605.12
29124910,ANISALDEHYDE A.R.,A77475,0,0,0,0,0
29124910,ANISALDEHYDE-99% 250 ML,A17475,2,0,96.53,96.53,1072.6
29093019,ANISOLE (METHOXY BENZENE) 500 ML,A17429,16,1354.75,0,0,7526.4
29029090,ANTHRACENE - 99% 100.00 GM,A10817,11,374.38,172.7,172.7,3998.74
29143990,ANTHRONE 25.00 GM,A10809,23,725.87,441.94,441.94,8943
28274900,ANTIMONY OXYCHLORIDE,A14625,0,0,0,0,0
29181390,ANTIMONY POTASSIUM TARTARATE 250.00 GM,A13725,4,0,139.4,139.4,1548.8
28309010,ANTIMONY SULPHIDE BLACK-96% 250.00 GM,A15625,2,106.85,0,0,593.6
28273990,ANTIMONY TRICHLORIDE.L.R. 100.00 GM,A17017,5,205.51,0,0,1141.7
28258000,ANTIMONY TRIOXIDE,A15629,0,0,0,0,0
70179010,ARSENIC APPARATUS,NG8086,0,0,0,0,0
70179010,Arsenic determination aparatus,NG8081,0,0,0,0,0
28112920,ARSENIC TRIOXIDE,A13635,0,0,0,0,0
28112920,ARSENIC TRIOXIDE L.R. 500.00 GM,A13629,17,215.01,59.98,59.98,1861.04
25249039,ASBESTOS FOR GOOCH CRUCIBLES 100.00 GM,A19017,2,36.34,0,0,726.88
70179010,"Aspirator bottle, 10000ml",NG3604,0,0,0,0,0
70179010,"Aspirator bottle, 5000ml",NG3603,0,0,0,0,0
29182200,ASPIRIN(ACETYL SALICYLIC ACID) 250.00 GM,A10325,11,0,198.87,198.87,2209.68
29397900,ATROPINE SULPHATE A.R - 98% 5.00 GM,A73601,1,0,50.67,50.67,562.96
32041321,AURAMINE (M.S) (AURAMINE O) 25.00 GM,A52909,14,0,172.65,172.65,1918.28
29252990,AZOMETHINE H  A.R.,A33201,0,0,0,0,0
29252990,AZOMETHINE H  A.R.,A33218,0,0,0,0,0
29252990,AZOMETHINE H  A.R. 10.00 GM,A33205,1,0,536.35,536.35,5959.44
32041953,AZUR II (STAIN POWDER),A33801,0,0,0,0,0
32041953,AZUR l (STAIN POWDER),A33701,0,0,0,0,0
70179010,B.O.D BOTTLE 125 ML,NG3151,0,0,0,0,0
70179010,B.O.D BOTTLE 300 ML,NG3152,10,0,282.74,282.74,3141.6
38220090,BANANA SPECIAL,B91017,0,0,0,0,0
38220090,BANANA SPECIAL,B91033,0,0,0,0,0
38220090,BANANA SPECIAL,B91088,0,0,0,0,0
29335200,BARBITURIC ACID-99%,B15409,0,0,0,0,0
