HSN,NAME,P CODE,TOTAL QUANTITY,UNTAXED TOTAL,IGST,SGST,CGST,TAXED TOTAL
25249039,ASBESTOS FOR GOOCH CRUCIBLES 100.00 GM,A19017,3.0,1265.55,0,31.64,31.64,1328.8300000000002,All / Saleable / LABORATORY CHEMICALS
38220090,ALUMINON REAGENT 125 ML,A21271,1.0,63.7,0,3.82,3.82,71.33999999999999,All / Saleable / CLINICAL REAGENTS/STAINS
38220019,ACID FAST STAINING KIT,A25550,6.0,1423.5,0,85.4,85.4,1594.3000000000002,All / Saleable / LABORATORY CHEMICALS
29152100,ACETIC ACID GLACIAL A.R. 500 ML,A74229,2.0,349.7,0,31.47,31.47,412.64,All / Saleable / INDICATOR PAPERS
28271000,AMMONIUM CHLORIDE A.R. 250.00 GM,A74429,2.0,211.9,0,19.07,19.07,250.04,All / Saleable / LABORATORY CHEMICALS
28142000,AMMONIA SOLN. A.R. SP.GR.0.91 500 ML,A75579,1.0,85.8,0,7.72,7.72,101.24,All / Saleable / LABORATORY CHEMICALS
28273990,BARIUM CHLORIDE L.R. 500.00 GM,B10329,3.0,384.15000000000003,69.15,0,0,453.30000000000007,All / Saleable / LABORATORY CHEMICALS
16030010,BILE SALT BACTERIOLOGICAL 100.00 GM,B10517,1.0,553.8,0,33.23,33.23,620.26,All / Saleable / LABORATORY CHEMICALS
38220090,BIAL'S REAGENT 125 ML,B10571,1.0,142.35,0,8.54,8.54,159.42999999999998,All / Saleable / CLINICAL REAGENTS/STAINS
29163110,BENZOIC ACID L.R. 500.00 GM,B11225,4.0,782.6,0,70.44,70.44,923.4800000000001,All / Saleable / LABORATORY CHEMICALS
29122100,BENZALDEHYDE.L.R. 500 ML,B11479,1.0,265.2,0,23.87,23.87,312.94,All / Saleable / LABORATORY CHEMICALS
34021200,BENZALKONIUM CHLORIDE 50% 500 ML,B11529,2.0,499.2,0,69.89,69.89,638.98,All / Saleable / LABORATORY CHEMICALS
28399090,BENTONITE POWDER 500.00 GM,B13029,2.0,436.8,0,39.31,39.31,515.4200000000001,All / Saleable / LABORATORY CHEMICALS
38220019,BARIUM CHLORIDE SOLUTION 10% 500 ML,B20479,5.0,334.75,0,20.09,20.09,374.92999999999995,All / Saleable / LABORATORY CHEMICALS
38220019,BIURET REAGENT 125 ML,B21671,8.0,369.2,44.3,0,0,413.5,All / Saleable / CLINICAL REAGENTS/STAINS
38220090,BROMOPHENOL BLUE SOLUTION 125 ML,B42671,10.0,533.0,0,31.98,31.98,596.96,All / Saleable / SOLVENTS
38220090,BUFFER POWDER pH 4.0,B43601,10.0,1144.0,0,102.96,102.96,1349.92,All / Saleable / LABORATORY CHEMICALS
38220090,BUFFER POWDER pH 4.0,B43601,1.0,114.4,20.59,0,0,134.99,All / Saleable / LABORATORY CHEMICALS
38220090,BUFFER POWDER pH 7.0,B44601,10.0,1144.0,0,102.96,102.96,1349.92,All / Saleable / LABORATORY CHEMICALS
38220090,BUFFER POWDER pH 7.0,B44601,1.0,114.4,20.59,0,0,134.99,All / Saleable / LABORATORY CHEMICALS
29339900,BILIRUBIN.A.R. - 99% 1.00 GM,B70302,1.0,1996.8,359.42,0,0,2356.22,All / Saleable / LABORATORY CHEMICALS
28352990,COPPER PHOSPHATE 250.00 GM,C10425,1.0,326.95,0,29.43,29.43,385.81,All / Saleable / LABORATORY CHEMICALS
28275990,CALCIUM BROMIDE HYDRATE-84.7% 250.00 GM,C10515,1.0,223.6,0,20.12,20.12,263.84,All / Saleable / LABORATORY CHEMICALS
29031300,CHLOROFORM L.R 25 L,C10989,2.0,8750.0,0,787.5,787.5,10325.0,All / Saleable / LABORATORY CHEMICALS
28191000,CHROMIC ACID L.R. 500.00 GM,C12229,2.0,786.5,0,70.78,70.78,928.06,All / Saleable / LABORATORY CHEMICALS
29181400,CITRIC ACID L.R. 500.00 GM,C12329,10.0,1599.0,0,143.91,143.91,1886.8200000000002,All / Saleable / LABORATORY CHEMICALS
29152990,COBALT ACETATE 100.00 GM,C12417,1.0,349.05,0,31.41,31.41,411.87000000000006,All / Saleable / LABORATORY CHEMICALS
28332500,COPPER SULPHATE L.R. 500.00 GM,C12929,20.0,6175.0,0,555.75,555.75,7286.5,All / Saleable / LABORATORY CHEMICALS
38220019,COPPER SULPHATE SOLUTION 500 ML,C13129,7.0,418.6,0,25.11,25.11,468.81999999999994,All / Saleable / CLINICAL REAGENTS/STAINS
28342990,CUPRIC NITRATE L.R. 500.00 GM,C15029,2.0,703.3,0,63.3,63.3,829.8999999999999,All / Saleable / LABORATORY CHEMICALS
38059090,CEDAR WOOD OIL 25 ML,C21709,50.0,11505.0,2070.9,0,0,13575.9,All / Saleable / CLINICAL REAGENTS/STAINS
38220019,C.S.F DILUTING FLUID 125 ML,C24071,1.0,42.9,0,2.57,2.57,48.04,All / Saleable / CLINICAL REAGENTS/STAINS
33012921,CLOVE OIL 100 ML,C31071,13.0,4098.25,737.68,0,0,4835.93,All / Saleable / LABORATORY CHEMICALS
28011000,CHLORINE TABLETS 100.00 GM,C51017,10.0,1599.0,0,143.91,143.91,1886.8200000000002,All / Saleable / LABORATORY CHEMICALS
29280090,DIMETHYL GLYOXIME L.R. 100.00 GM,D10617,2.0,583.7,0,52.53,52.53,688.76,All / Saleable / LABORATORY CHEMICALS
29091100,DIETHYL ETHER L.R. 500 ML,D11529,1.0,183.3,0,16.5,16.5,216.3,All / Saleable / ACIDS
28539010,D.M.WATER 5 L,D15051,100.0,11150.0,0,1003.5,1003.5,13157.0,All / Saleable / LABORATORY CHEMICALS
38220019,DRABKINS SOLUTION 1 L,D21083,1.0,146.25,17.55,0,0,163.8,All / Saleable / CLINICAL REAGENTS/STAINS
38220019,D.P.X.MOUNTANT 250 ML,D30475,20.0,4420.0,0,265.2,265.2,4950.4,All / Saleable / CLINICAL REAGENTS/STAINS
29224990,EDTA DISODIUM SALT L.R. 100.00 GM,E10217,20.0,2028.0,0,182.52,182.52,2393.04,All / Saleable / LABORATORY CHEMICALS
29163190,ETHYL BENZOATE 500 ML,E13129,1.0,464.1,0,41.77,41.77,547.64,All / Saleable / LABORATORY CHEMICALS
38220019,EDTA SOLUTION 10% 125 ML,E20371,15.0,965.25,115.83,0,0,1081.08,All / Saleable / CLINICAL REAGENTS/STAINS
38220019,EOSINOPHIL DILUTING FLUID 125 ML,E21071,19.0,1210.3,145.24,0,0,1355.54,All / Saleable / CLINICAL REAGENTS/STAINS
38220019,EDTA Solution 5% 125 ML,E21471,15.0,770.25,61.62,15.4,15.4,862.67,All / Saleable / CLINICAL REAGENTS/STAINS
38220090,EDTA SOLUTION N/10 500 ML,E50479,6.0,452.4,0,27.14,27.14,506.67999999999995,All / Saleable / VOLUMETRIC SOLUTIONS
38220090,EDTA SOLUTION N/50 500 ML,E60579,5.0,341.25,0,30.71,30.71,402.66999999999996,All / Saleable / ANALYSIS KITS
28273990,FERRIC CHLORIDE ANHYDROUS 500.00 GM,F10329,2.0,211.9,0,19.07,19.07,250.04,All / Saleable / LABORATORY CHEMICALS
28332910,FERROUS SULPHATE L.R. 500.00 GM,F10729,2.0,169.0,0,15.21,15.21,199.42000000000002,All / Saleable / LABORATORY CHEMICALS
28309010,FERROUS SULPHIDE STICKS L.R. 1.00 KG,F10833,5.0,1131.0,0,101.79,101.79,1334.58,All / Saleable / LABORATORY CHEMICALS
29121100,FORMALDEHYDE L.R. 5 L,F11201,22.0,12498.2,2045.16,102.26,102.26,14747.88,All / Saleable / LABORATORY CHEMICALS
29151100,FORMIC ACID 500 ML,F11329,10.0,1501.5,0,135.13,135.13,1771.7600000000002,All / Saleable / LABORATORY CHEMICALS
38220090,FEHLING'S SOLUTION NO.1 500 ML,F20179,2.0,312.0,0,28.08,28.08,368.15999999999997,All / Saleable / CLINICAL REAGENTS/STAINS
38220090,FEHLING'S SOLUTION NO.2 500 ML,F20279,2.0,552.5,0,49.73,49.73,651.96,All / Saleable / CLINICAL REAGENTS/STAINS
32041343,FUCHSIN BASIC STAIN POWDER 25.00 GM,F31709,2.0,189.8,0,17.08,17.08,223.95999999999998,All / Saleable / INDICATOR POWDERS/SOLUTIONS
29054500,GLYCERINE L.R. (GLYCEROL) 500 ML,G11029,20.0,3549.0,0,319.41,319.41,4187.82,All / Saleable / LABORATORY CHEMICALS
29224910,GLYCINE ( AMINO ACETIC ACID) 250.00 GM,G11525,3.0,641.55,0,57.74,57.74,757.03,All / Saleable / LABORATORY CHEMICALS
38220019,GIEMSA'S STAIN SOLUTION 125 ML,G30871,1.0,149.5,0,8.97,8.97,167.44,All / Saleable / INDICATOR POWDERS/SOLUTIONS
38220019,GRAM'S IODINE 125 ML,G31171,12.0,787.8,0,47.27,47.27,882.3399999999999,All / Saleable / INDICATOR POWDERS/SOLUTIONS
28061000,HYDROCHLORIC ACID L.R. 500 ML,H10229,9.0,702.0,0,63.18,63.18,828.3599999999999,All / Saleable / LABORATORY CHEMICALS
28251030,HYDRAZINE SULPHATE.L.R. 100.00 GM,H11517,2.0,275.6,0,24.8,24.8,325.20000000000005,All / Saleable / LABORATORY CHEMICALS
28470000,HYDROGEN PEROXIDE 3% SOLUTION 500 ML,H20379,11.0,550.55,0,49.55,49.55,649.6499999999999,All / Saleable / LABORATORY CHEMICALS
38220019,HAEMATOXYLIN (Harris's) 125 ML,H30271,6.0,1462.5,58.5,58.5,58.5,1638.0,All / Saleable / INDICATOR POWDERS/SOLUTIONS
32041339,HAEMATOXYLIN STAIN POWDER 5.00 GM,H31001,11.0,10480.0,187.2,849.6,849.6,12366.400000000001,All / Saleable / INDICATOR POWDERS/SOLUTIONS
28061000,HYDROCHLORIC ACID N/1 500 ML,H50379,31.0,2317.25,417.11,0,0,2734.36,All / Saleable / VOLUMETRIC SOLUTIONS
28061000,HYDROCHLORIC ACID N/10 500 ML,H50399,21.0,1569.75,0,141.28,141.28,1852.31,All / Saleable / VOLUMETRIC SOLUTIONS
38220019,HAEMOGLOBIN STANDARD 10 ML,H55005,1.0,68.9,0,4.13,4.13,77.16,All / Saleable / CLINICAL REAGENTS/STAINS
28061000,HYDROCHLORIC ACID A.R 500 ML,H70829,7.0,623.35,0,56.1,56.1,735.55,All / Saleable / LABORATORY CHEMICALS
72052910,IRON FILINGS 1.00 KG,I10133,1.0,369.2,0,33.23,33.23,435.66,All / Saleable / LABORATORY CHEMICALS
38059090,IMMERSION OIL (For Microscopy) 30 ML,I10610,1.0,226.2,0,20.36,20.36,266.92,All / Saleable / LABORATORY CHEMICALS
29051220,ISO PROPYL ALCOHOL.L.R. 500 ML,I11129,32.0,5137.6,0,462.39,462.39,6062.379999999999,All / Saleable / ACIDS
29051220,ISO PROPYL ALCOHOL L.R. 2.5 L,I11137,3.0,2090.4,0,188.14,188.14,2466.68,All / Saleable / ACIDS
29051220,ISO PROPYL ALCOHOL 70% 500 ML,I16029,40.0,4862.0,0,437.58,437.58,5737.16,All / Saleable / LABORATORY CHEMICALS
38220019,IODINE SOLUTION 1% 125 ML,I20317,6.0,417.3,50.08,0,0,467.38,All / Saleable / CLINICAL REAGENTS/STAINS
29337900,INDOLE-3-BUTYRIC ACID (I.B.A) 5.00 GM,I40601,2.0,689.0,0,62.01,62.01,813.02,All / Saleable / LABORATORY CHEMICALS
38220090,INDICATOR PAPER pH 2.00-10.5 200 LS,I40956,5.0,598.0,0,53.82,53.82,705.6400000000001,All / Saleable / INDICATOR PAPERS
38220090,INDICATOR PAPER (1-14) 200 LS,I41056,21.0,2648.1,0,234.54999999999998,234.54999999999998,3117.2,All / Saleable / LABORATORY CHEMICALS
38220019,J.S.B.STAIN SOLUTION NO:1 125 ML,J30172,24.0,1716.0,205.92000000000002,0,0,1921.9199999999998,All / Saleable / INDICATOR POWDERS/SOLUTIONS
38220019,J.S.B.STAIN SOLUTION NO:2 125 ML,J30271,23.0,1644.5,197.34,0,0,1841.84,All / Saleable / INDICATOR POWDERS/SOLUTIONS
38220090,KOVAC'S INDOLE REAGENT 125 ML,K20171,1.0,98.15,0,5.89,5.89,109.93,All / Saleable / CLINICAL REAGENTS/STAINS
29152990,LEAD ACETATE L.R. 500.00 GM,L10129,1.0,232.05,0,20.88,20.88,273.81,All / Saleable / LABORATORY CHEMICALS
29181110,LACTIC ACID L.R. 500 ML,L10429,6.0,2242.5,0,201.82,201.82,2646.1400000000003,All / Saleable / LABORATORY CHEMICALS
38220019,LEISHMAN'S STAIN SOLUTION (S) 250 ML,L10475,18.0,1930.5,0,115.82999999999998,115.82999999999998,2162.16,All / Saleable / INDICATOR POWDERS/SOLUTIONS
28342990,LITHIUM NITRATE ANHYDROUS 98% 100.00 GM,L10519,5.0,705.25,0,63.47,63.47,832.19,All / Saleable / LABORATORY CHEMICALS
38220019,LACTOPHENOL-COTTON BLUE M.S. 500 ML,L11629,3.0,664.95,0,39.900000000000006,39.900000000000006,744.7500000000001,All / Saleable / CLINICAL REAGENTS/STAINS
38220019,LEISHMAN'S STAIN SOLUTION (M) 500 ML,L30579,39.0,7182.0,222.3,319.77,319.77,8043.840000000001,All / Saleable / INDICATOR POWDERS/SOLUTIONS
38089400,LYSOL (Ready to use) 5 L,L30601,52.0,13695.119999999999,2465.12,0,0,16160.239999999998,All / Saleable / LABORATORY CHEMICALS
38220019,LUGOL'S IODINE 125 ML,L31271,10.0,747.5,89.7,0,0,837.2,All / Saleable / INDICATOR POWDERS/SOLUTIONS
38220090,LEAD ACETATE PAPER 200 LS,L40156,11.0,1358.5,22.23,74.1,74.1,1528.9299999999998,All / Saleable / INDICATOR PAPERS
38220090,LITMUS RED INDICATOR PAPER 100 LS,L40951,20.0,1001.0,0,60.06,60.06,1121.12,All / Saleable / INDICATOR PAPERS
28332100,MAGNESIUM SULPHATE L.R. 500.00 GM,M10329,2.0,196.3,35.33,0,0,231.63,All / Saleable / LABORATORY CHEMICALS
28332100,MAGNESIUM SULPHATE 5.00 KG,M10339,20.0,6000.0,0,540.0,540.0,7080.0,All / Saleable / LABORATORY CHEMICALS
28273990,MANGANOUS CHLORIDE L.R. 500.00 GM,M10529,1.0,264.55,0,23.81,23.81,312.17,All / Saleable / LABORATORY CHEMICALS
38220090,MAGNESON REAGENT 125 ML,M21271,1.0,57.85,0,3.47,3.47,64.79,All / Saleable / CLINICAL REAGENTS/STAINS
38220090,MILK ADULT.TEST KIT (13x50te),M25750,2.0,2730.0,0,245.7,245.7,3221.3999999999996,All / Saleable / CLINICAL REAGENTS/STAINS
29071510,NAPHTHOL ALPHA 100.00 GM,N10117,3.0,524.55,0,47.21,47.21,618.97,All / Saleable / LABORATORY CHEMICALS
29071520,NAPHTHOL BETA 250.00 GM,N10225,2.0,310.7,0,27.96,27.96,366.61999999999995,All / Saleable / LABORATORY CHEMICALS
28080010,NITRIC ACID L.R. 500 ML,N10729,16.0,1643.2,0,147.89,147.89,1938.98,All / Saleable / LABORATORY CHEMICALS
28273500,NICKEL CHLORIDE.L.R. 250.00 GM,N11525,3.0,1686.75,0,151.8,151.8,1990.3500000000001,All / Saleable / LABORATORY CHEMICALS
28342990,NICKEL NITRATE.L.R. 250.00 GM,N12025,1.0,369.2,0,33.23,33.23,435.66,All / Saleable / LABORATORY CHEMICALS
38220019,NESSLER'S REAGENT 125 ML,N20271,20.0,2015.0,0,120.9,120.9,2256.8,All / Saleable / CLINICAL REAGENTS/STAINS
38220090,ALPHA NAPHTHOL SOLUTION 125 ML,N40871,1.0,69.55,0,4.17,4.17,77.89,All / Saleable / LABORATORY CHEMICALS
28092010,ORTHO PHOSPHORIC ACID L.R. 500 ML,O10129,1.0,323.7,58.27,0,0,381.96999999999997,All / Saleable / LABORATORY CHEMICALS
38220019,PAPANICOLAOU'S STAIN - OG-6 125 ML,P10171,16.0,1955.2,234.63,0,0,2189.83,All / Saleable / LABORATORY CHEMICALS
35040010,PEPTONE L.R. 250.00 GM,P10525,8.0,2080.0,0,187.2,187.2,2454.3999999999996,All / Saleable / LABORATORY CHEMICALS
28364000,POTASSIUM CARBONATE L.R. 500.00 GM,P11729,8.0,1378.0,0,124.02,124.02,1626.04,All / Saleable / LABORATORY CHEMICALS
28415090,POTASSIUM CHROMATE L.R. 500.00 GM,P11929,20.0,7189.0,0,647.01,647.01,8483.02,All / Saleable / LABORATORY CHEMICALS
28415090,POTASSIUM DICHROMATE L.R. 500.00 GM,P12129,20.0,7826.0,0,704.34,704.34,9234.68,All / Saleable / LABORATORY CHEMICALS
28372020,POTASSIUM FERRICYANIDE L.R. 250.00 GM,P12325,4.0,1255.8,226.04,0,0,1481.84,All / Saleable / LABORATORY CHEMICALS
28152000,POTASSIUM HYDROXIDE PELLETS 500.00 GM,P12529,21.0,3835.65,32.88,328.77,328.77,4526.07,All / Saleable / LABORATORY CHEMICALS
28352400,DI POT.HYDROGEN PHOSPHATE L.R 500.00 GM,P12729,5.0,1599.0,0,143.91,143.91,1886.8200000000002,All / Saleable / LABORATORY CHEMICALS
28322010,POTASSIUM META BISULPHITE 25.00 KG,P13088,1.0,6075.0,0,546.75,546.75,7168.5,All / Saleable / LABORATORY CHEMICALS
28342100,POTASSIUM NITRATE L.R. 500.00 GM,P13129,20.0,2743.0,0,246.87,246.87,3236.74,All / Saleable / LABORATORY CHEMICALS
29171190,POTASSIUM OXALATE L.R. 500.00 GM,P13229,3.0,780.0,0,70.2,70.2,920.4000000000001,All / Saleable / LABORATORY CHEMICALS
28416100,POTASSIUM PERMANGANATE L.R. 500.00 GM,P13429,20.0,6019.0,0,541.71,541.71,7102.42,All / Saleable / LABORATORY CHEMICALS
28276010,POTASSIUM IODIDE L.R. 500.00 GM,P14329,1.0,3185.0,573.3,0,0,3758.3,All / Saleable / LABORATORY CHEMICALS
39053000,POLY VINYL ALCOHOL 500.00 GM,P15629,4.0,1344.2,0,120.98,120.98,1586.16,All / Saleable / LABORATORY CHEMICALS
38220090,PICRIC ACID SATURATED SOLUTION 125 ML,P21371,2.0,300.3,0,18.02,18.02,336.34,All / Saleable / CLINICAL REAGENTS/STAINS
33012400,PEPPERMINT OIL 100 ML,P21871,9.0,4270.5,768.69,0,0,5039.1900000000005,All / Saleable / LABORATORY CHEMICALS
29280090,PHENYL HYDRAZINE 250 ML,P32325,3.0,1203.15,0,108.28,108.28,1419.71,All / Saleable / LABORATORY CHEMICALS
38220090,PHENOL RED SOLUTION 125 ML,P40671,1.0,58.5,0,3.51,3.51,65.52,All / Saleable / SOLVENTS
38220090,POTASSIUM HYDROXIDE SOLN. 40% 500 ML,P53029,1.0,105.95,0,6.36,6.36,118.67,All / Saleable / LABORATORY CHEMICALS
38220090,POTASSIUM PERMANGANATE N/10 500 ML,P53579,6.0,382.2,0,22.94,22.94,428.08,All / Saleable / VOLUMETRIC SOLUTIONS
38220090,POTASSIUM IODIDE-IODATE N/50 500 ML,P62979,1.0,96.85,0,5.81,5.81,108.47,All / Saleable / LABORATORY CHEMICALS
28416100,POTASSIUM PERMANGANATE A.R 500.00 GM,P73429,2.0,670.8,0,60.37,60.37,791.54,All / Saleable / LABORATORY CHEMICALS
28415090,POTASSIUM DICHROMATE A.R. 500.00 GM,P74329,2.0,915.2,0,82.37,82.37,1079.94,All / Saleable / LABORATORY CHEMICALS
29072100,RESORCINOL 100.00 GM,R11217,3.0,733.2,0,65.99000000000001,65.99000000000001,865.18,All / Saleable / LABORATORY CHEMICALS
38220019,R.B.C. DILUTING FLUID 125 ML,R20171,1.0,61.75,0,3.71,3.71,69.16999999999999,All / Saleable / CLINICAL REAGENTS/STAINS
38220019,R.B.C. DILUTING FLUID 500 ML,R20179,4.0,429.0,0,25.74,25.74,480.48,All / Saleable / CLINICAL REAGENTS/STAINS
38220019,ROTHERA'S MIXTURE POWDER 100.00 GM,R20467,2.0,119.6,0,7.18,7.18,133.96,All / Saleable / CLINICAL REAGENTS/STAINS
38220090,ROBERT'S TEST REAGENT 125 ML,R31871,2.0,100.1,0,9.01,9.01,118.12,All / Saleable / CLINICAL REAGENTS/STAINS
28289019,SODIUM HYPOCHLORITE Solution 1 L,S10683,16.0,1393.6,250.85,0,0,1644.4499999999998,All / Saleable / LABORATORY CHEMICALS
28363000,SODIUM BICARBONATE.L.R 25.00 KG,S11988,1.0,2375.0,0,213.75,213.75,2802.5,All / Saleable / LABORATORY CHEMICALS
29152990,SODIUM ACETATE ANHYDROUS 500.00 GM,S12129,1.0,169.0,0,15.21,15.21,199.42000000000002,All / Saleable / LABORATORY CHEMICALS
25010010,SODIUM CHLORIDE L.R. 500.00 GM,S12229,20.0,1508.0,0,0,0,1508.0,All / Saleable / LABORATORY CHEMICALS
29181520,TRI-SODIUM CITRATE L.R. 500.00 GM,S12479,1.0,182.65,32.88,0,0,215.53,All / Saleable / LABORATORY CHEMICALS
28341090,SODIUM COBALT NITRITE L.R. 100.00 GM,S12617,1.0,276.25,0,24.86,24.86,325.97,All / Saleable / LABORATORY CHEMICALS
28151190,SODIUM HYDROXIDE PELLETS L.R. 500.00 GM,S12929,9.0,1046.11,0,94.15,94.15,1234.41,All / Saleable / LABORATORY CHEMICALS
28051100,SODIUM METAL 100.00 GM,S13317,1.0,129.35,0,11.64,11.64,152.63,All / Saleable / LABORATORY CHEMICALS
28051100,SODIUM METAL L.R. 250.00 GM,S13325,4.0,1102.4,0,99.22,99.22,1300.8400000000001,All / Saleable / LABORATORY CHEMICALS
29181390,SODIUM POTASSIUM TARTARATE L.R 250.00 GM,S13725,2.0,578.5,0,52.06,52.06,682.6199999999999,All / Saleable / LABORATORY CHEMICALS
28331100,SODIUM SULPHATE ANHYDROUS L.R. 500.00 GM,S13829,21.0,2224.95,19.07,190.71,190.71,2625.44,All / Saleable / LABORATORY CHEMICALS
28020010,SULPHUR POWDER 500.00 GM,S14529,3.0,302.25,0,27.21,27.21,356.66999999999996,All / Saleable / LABORATORY CHEMICALS
28070010,SULPHURIC ACID L.R. 500 ML,S15029,7.0,864.5,0,77.81,77.81,1020.1200000000001,All / Saleable / INDICATOR PAPERS
28070010,SULPHURIC ACID L.R. 2.5 L,S15037,4.0,1921.4,345.85,0,0,2267.25,All / Saleable / INDICATOR PAPERS
28403000,SODIUM PERBORATE TETRAHYDRATE 500.00 GM,S17729,2.0,345.8,0,31.12,31.12,408.04,All / Saleable / LABORATORY CHEMICALS
38220090,SELIWANOFF'S REAGENT 125 ML,S20471,1.0,92.95,0,5.58,5.58,104.11,All / Saleable / LABORATORY CHEMICALS
28289019,SODIUM HYPOCHLORITE Solution 5 L,S21951,28.0,8827.0,1588.8600000000001,0,0,10415.859999999999,All / Saleable / LABORATORY CHEMICALS
38220019,SULPHOSALICYLIC ACID SOLN 3% 125 ML,S24571,16.0,1029.6,0,61.78,61.78,1153.1599999999999,All / Saleable / LABORATORY CHEMICALS
28070010,SULPHURIC ACID 20% 500 ML,S25279,5.0,334.75,60.25,0,0,395.0,All / Saleable / ACIDS
38220019,SAFRANINE STAIN SOLUTION 125 ML,S30271,10.0,773.5,0,46.41,46.41,866.3199999999999,All / Saleable / CLINICAL REAGENTS/STAINS
17011490,SUCROSE 500.00 GM,S39929,2.0,332.8,0,8.32,8.32,349.44,All / Saleable / LABORATORY CHEMICALS
38220090,STARCH IODIDE PAPER 100 LS,S44950,10.0,656.5,0,39.39,39.39,735.28,All / Saleable / INDICATOR PAPERS
38220090,STARCH IODIDE PAPER 200 LS,S44956,10.0,1241.5,0,74.49,74.49,1390.48,All / Saleable / INDICATOR PAPERS
38220090,SILVER NITRATE SOLUTION N/10 125 ML,S51271,1.0,354.25,0,21.25,21.25,396.75,All / Saleable / LABORATORY CHEMICALS
38220090,SILVER NITRATE SOLUTION N/10 500 ML,S51279,1.0,1235.0,0,74.1,74.1,1383.1999999999998,All / Saleable / LABORATORY CHEMICALS
38220090,SODIUM HYDROXIDE SOLUTION N/1 500 ML,S53079,7.0,532.35,82.13,4.56,4.56,623.6,All / Saleable / LABORATORY CHEMICALS
38220090,SODIUM HYDROXIDE SOLN. N/10 500 ML,S53109,51.0,3978.0,280.8,145.08,145.08,4548.960000000001,All / Saleable / LABORATORY CHEMICALS
38220090,SODIUM THIOSULPHATE SOLN.N/10 500 ML,S54179,1.0,62.4,0,3.74,3.74,69.88,All / Saleable / LABORATORY CHEMICALS
28070010,SULPHURIC ACID N/1 500 ML,S55979,2.0,130.0,23.4,0,0,153.4,All / Saleable / VOLUMETRIC SOLUTIONS
28070010,SULPHURIC ACID N/10 500 ML,S56079,20.0,1300.0,0,117.0,117.0,1534.0,All / Saleable / LABORATORY CHEMICALS
25010010,SODIUM CHLORIDE A.R. 500.00 GM,S75429,2.0,166.4,0,0,0,166.4,All / Saleable / LABORATORY CHEMICALS
28070010,SULPHURIC ACID A.R. 500 ML,S75829,5.0,650.0,0,58.5,58.5,767.0,All / Saleable / INDICATOR PAPERS
29023000,TOLUENE (SULPHUR FREE) 500 ML,T10919,1.0,165.75,0,14.92,14.92,195.58999999999997,All / Saleable / ACIDS
29023000,TOLUENE RECTIFIED L.R. 2.5 L,T10937,1.0,626.6,0,56.39,56.39,739.38,All / Saleable / ACIDS
29154030,TRICHLORO ACETIC ACID.L.R. 100.00 GM,T11317,1.0,104.0,18.72,0,0,122.72,All / Saleable / ACIDS
29154030,TRICHLORO ACETIC ACID L.R. 500.00 GM,T11329,2.0,678.6,0,61.07,61.07,800.7400000000001,All / Saleable / LABORATORY CHEMICALS
34021300,TWEEN-80 500 ML,T12529,1.0,557.7,0,78.08,78.08,713.8600000000001,All / Saleable / LABORATORY CHEMICALS
29071930,THYMOL CRYSTALS 100.00 GM,T14217,2.0,644.8,0,58.03,58.03,760.8599999999999,All / Saleable / LABORATORY CHEMICALS
38220019,O-TOLUIDINE REAGENT-GLUCOSE 500 ML,T60979,10.0,2112.5,0,126.75,126.75,2366.0,All / Saleable / ANALYSIS KITS
